anpha,beta,x,y
0.0,68.0,64.98426373663648,37.0873541826715
0.0,69.0,64.33471798181202,37.34321705988807
0.0,70.0,63.68080573302675,37.587704831436334
0.0,71.0,63.02272617828627,37.82074302397267
0.0,72.0,62.3606797749979,38.04226065180614
0.0,73.0,61.69486818890947,38.252190238521415
0.0,74.0,61.02549423267997,38.450467837532756
0.0,75.0,60.35276180410083,38.63703305156273
0.0,76.0,59.676875823986705,38.81182905103986
0.0,77.0,58.9980421737546,38.97480259140941
0.0,78.0,58.31646763271038,39.12590402935222
0.0,79.0,57.6323598150618,39.26508733790656
0.0,80.0,56.94592710667722,39.39231012048832
0.0,81.0,56.25737860160924,39.507533623805514
0.0,82.0,55.56692403840262,39.61072274966281
0.0,83.0,54.874773736205896,39.70184606565288
0.0,84.0,54.181138530706136,39.78087581473093
0.0,85.0,53.486229709906326,39.84778792366982
0.0,86.0,52.79025894976501,39.90256201039297
0.0,87.0,52.09343824971776,39.94518139018295
0.0,88.0,51.39597986810004,39.97563308076383
0.0,89.0,50.69809625749134,39.99390780625565
0.0,90.0,50.0,40.0
0.0,91.0,49.301903742508664,39.99390780625565
0.0,92.0,48.604020131899965,39.97563308076383
0.0,93.0,47.90656175028224,39.94518139018295
0.0,94.0,47.20974105023499,39.90256201039297
0.0,95.0,46.51377029009367,39.84778792366982
0.0,96.0,45.81886146929386,39.78087581473093
0.0,97.0,45.125226263794104,39.70184606565289
0.0,98.0,44.43307596159738,39.61072274966281
0.0,99.0,43.74262139839077,39.507533623805514
0.0,100.0,43.05407289332279,39.39231012048832
0.0,101.0,42.36764018493821,39.26508733790656
0.0,102.0,41.68353236728963,39.12590402935223
0.0,103.0,41.0019578262454,38.97480259140941
0.0,104.0,40.32312417601329,38.81182905103986
0.0,105.0,39.64723819589916,38.63703305156273
0.0,106.0,38.97450576732004,38.450467837532756
0.0,107.0,38.30513181109053,38.25219023852142
0.0,108.0,37.63932022500211,38.042260651806146
0.0,109.0,36.97727382171374,37.820743023972675
0.0,110.0,36.319194266973255,37.58770483143634
0.0,111.0,35.66528201818799,37.34321705988807
0.0,112.0,35.01573626336352,37.0873541826715
0.0,113.0,34.370754860429045,36.82019413809761
0.0,114.0,33.73053427696799,36.541818305704034
0.0,115.0,33.09526953037202,36.252311481466
0.0,116.0,32.4651541284369,35.95176185196668
0.0,117.0,31.840380010418134,35.640260967534715
0.0,118.0,31.221137488564363,35.31790371435707
0.0,119.0,30.607615190146518,34.98478828557583
0.0,120.0,30.000000000000007,34.64101615137755
0.0,121.0,29.39847700359783,34.286692028084495
0.0,122.0,28.80322943067181,33.921923846257044
0.0,123.0,28.214438599398918,33.54682271781696
0.0,124.0,27.632283861170134,33.16150290220167
0.0,125.0,27.056942545958155,32.76608177155967
0.0,126.0,26.48858990830108,32.3606797749979
0.0,127.0,25.927399073918064,31.94542040189171
0.0,128.0,25.37354098697367,31.52043014426888
0.0,129.0,24.82718435800651,31.08583845827884
0.0,130.0,24.288495612538426,30.64177772475912
0.0,131.0,23.757638840379713,30.188383208910885
0.0,132.0,23.23477574564567,29.725793019095768
0.0,133.0,22.720065597500067,29.254148064766824
0.0,134.0,22.213665181640106,28.773592013546043
0.0,135.0,21.7157287525381,28.284271247461902
0.0,136.0,21.226407986453953,27.786334818359887
0.0,137.0,20.745851935233183,27.279934402499944
0.0,138.0,20.27420698090424,26.765224254354333
0.0,139.0,19.81161679108912,26.24236115962029
0.0,140.0,19.358222275240884,25.71150438746158
0.0,141.0,18.914161541721164,25.172815641993495
0.0,142.0,18.479569855731125,24.626459013026334
0.0,143.0,18.054579598108283,24.072600926081925
0.0,144.0,17.63932022500211,23.51141009169893
0.0,145.0,17.233918228440324,22.94305745404184
0.0,146.0,16.83849709779834,22.367716138829877
0.0,147.0,16.45317728218304,21.785561400601093
0.0,148.0,16.078076153742963,21.196770569328194
0.0,149.0,15.713307971915512,20.601522996402174
0.0,150.0,15.35898384862245,19.999999999999996
0.0,151.0,15.015211714424169,19.392384809853485
0.0,152.0,14.68209628564292,18.778862511435626
0.0,153.0,14.359739032465285,18.159619989581874
0.0,154.0,14.04823814803332,17.534845871563093
0.0,155.0,13.747688518534005,16.904730469627978
0.0,156.0,13.458181694295973,16.269465723032017
0.0,157.0,13.179805861902388,15.629245139570951
0.0,158.0,12.91264581732851,14.984263736636489
0.0,159.0,12.656782940111931,14.334717981812009
0.0,160.0,12.412295168563666,13.680805733026755
0.0,161.0,12.179256976027325,13.022726178286263
0.0,162.0,11.957739348193861,12.3606797749979
0.0,163.0,11.747809761478578,11.694868188909464
0.0,164.0,11.549532162467244,11.025494232679968
0.0,165.0,11.362966948437276,10.35276180410084
0.0,166.0,11.188170948960142,9.676875823986709
0.0,167.0,11.025197408590593,8.998042173754609
0.0,168.0,10.874095970647772,8.316467632710372
0.0,169.0,10.734912662093443,7.632359815061799
0.0,170.0,10.607689879511682,6.945927106677211
0.0,171.0,10.492466376194493,6.257378601609239
0.0,172.0,10.389277250337187,5.566924038402613
0.0,173.0,10.29815393434712,4.874773736205902
0.0,174.0,10.219124185269067,4.181138530706149
0.0,175.0,10.15221207633018,3.4862297099063277
0.0,176.0,10.09743798960703,2.790258949765021
0.0,177.0,10.054818609817048,2.093438249717752
0.0,178.0,10.024366919236172,1.3959798681000457
0.0,179.0,10.006092193744351,0.6980962574913375
0.0,180.0,10.0,4.898587196589413e-15
1.0,0.0,89.98629256407521,1.570716579355516
1.0,1.0,89.96801783858339,2.2686001899642143
1.0,2.0,89.93756614800252,2.966058571581929
1.0,3.0,89.89494676821253,3.662879271629188
1.0,4.0,89.84017268148938,4.358850031770502
1.0,5.0,89.7732605725505,5.053758852570315
1.0,6.0,89.69423082347245,5.747394058070075
1.0,7.0,89.60310750748238,6.439544360266793
1.0,8.0,89.49991838162508,7.12999892347341
1.0,9.0,89.38469487830788,7.818547428541389
1.0,10.0,89.25747209572611,8.504980136925967
1.0,11.0,89.11828878717179,9.18908795457455
1.0,12.0,88.96718734922896,9.870662495618776
1.0,13.0,88.80421380885943,10.549496145850885
1.0,14.0,88.62941780938229,11.225382125965005
1.0,15.0,88.44285259535232,11.898114554544142
1.0,16.0,88.24457499634099,12.567488510773646
1.0,17.0,88.03464540962571,13.233300096862072
1.0,18.0,87.81312778179225,13.895346500150444
1.0,19.0,87.5800895892559,14.553426054890924
1.0,20.0,87.33560181770764,15.207338303676186
1.0,21.0,87.07973894049107,15.856884058500656
1.0,22.0,86.81257889591717,16.501865461435127
1.0,23.0,86.53420306352359,17.142086044896185
1.0,24.0,86.24469623928556,17.777350791492154
1.0,25.0,85.94414660978624,18.407466193427272
1.0,26.0,85.63264572535428,19.032240311446046
1.0,27.0,85.31028847217664,19.65148283329981
1.0,28.0,84.9771730433954,20.265005131717658
1.0,29.0,84.63340090919712,20.872620321864172
